variant,fraction_bin,cumulative_fce,cumulative_true_progress,commitment_debt_after,fce_per_progress
no_commitment_debt,0.78,268.7522716625,108.58805972857144,230.93554127464287,2.474970750322621
no_commitment_debt,0.8,272.50641649821426,109.3122618625,231.14396819107145,2.492917188384505
no_commitment_debt,0.82,274.76276007857143,110.10754978214285,233.89320495249999,2.495403454369958
no_commitment_debt,0.84,278.20504219285715,120.93862543928572,242.27425897535713,2.3003820423982178
no_commitment_debt,0.86,279.0087443357143,122.74800198214287,243.52787025607145,2.2730206588316113
no_commitment_debt,0.88,279.1518593357143,123.83962478214286,245.4734867232143,2.254140060798753
no_commitment_debt,0.9,279.94908219285713,125.18131924642857,243.3130764789286,2.236348713035664
no_commitment_debt,0.92,281.11719647857143,126.968007225,246.90084384607144,2.2140789843255844
no_commitment_debt,0.94,281.11719647857143,129.80410446785714,249.04262757571428,2.1657034469829366
no_commitment_debt,0.96,281.11719647857143,131.9696182625,248.6968268792857,2.130166019874384
no_commitment_debt,0.98,281.11719647857143,134.67178874107142,249.94065233714286,2.0874245386245316
no_commitment_debt,1.0,281.11719647857143,137.2544364017857,258.77649056678575,2.048146521513195
no_delayed_feedback,0.0,2.8529005375000005,0.0,13.813699125,2852900537.5000005
no_delayed_feedback,0.02,9.217382537499999,0.0,17.38312910035714,9217382537.499998
no_delayed_feedback,0.04,15.095225382142857,0.0,22.005394652142858,15095225382.142857
no_delayed_feedback,0.06,18.549127573214285,0.0,19.774412057142857,18549127573.214283
no_delayed_feedback,0.08,21.133564614285714,0.49384121428571426,21.9008986075,42.79425046541131
no_delayed_feedback,0.1,24.7999315875,1.1643539285714284,25.34894078142857,21.299306833556688
no_delayed_feedback,0.12,29.837464158928572,1.7668415535714286,24.747628614642856,16.887458922740535
no_delayed_feedback,0.14,32.83595995535715,2.3074443125,26.92291892642857,14.230445249524152
no_delayed_feedback,0.16,35.057654355357144,11.666819526785714,28.344380905,3.0049024307669017
no_delayed_feedback,0.18,35.855830069642856,14.172687148214285,33.18507310964286,2.5299246144836114
